FROM;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;OFF
0;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1;;;;0.3;;;;;;;0.4;;;;0.3;;;;;;;;;;;;;;;;
2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
3;;;;;;;;;;;0.5;;;;;;;;;;;;;;0.5;;;;;;
4;;;;;;;;;;;;;;;;;;;;;;;;;;0.4;0.4;0.2;;;
5;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;0.8;;;;
6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
7;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
9;0.7;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;
10;;;;;;0.4;;;;;;;;;0.3;;0.3;;;;;;;;;;;;;;
11;;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4
12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
13;;;;0.7;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;
14;;;;;;0.5;;;;;;;;;;;;;;;;0.1;;;;0.4;;;;;
15;;0.5;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;
16;;;;;0.25;;;;;;;;;;;;;;;;;;;;;0.25;0.5;;;;
17;;;;;;;;;;;;;;;;0.8;;;;0.2;;;;;;;;;;;
18;;0.2;;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;;;;;;;;;;;;;;0.6;;;;;0.4;;;;;;;;;;;;
20;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;0.5;
21;;;0.4;;;;;;;;;;;;;;;;;;0.6;;;;;;;;;;
22;;;;;;;;;;;;;;0.4;;0.1;;;;0.5;;;;;;;;;;;
23;;;;;;;;;;;;;;;;;;0.5;;;;;0.5;;;;;;;;
24;;;;;0.4;;;;;;;;;;;;0.6;;;;;;;;;;;;;;
25;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;0.4;0.3;;
26;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
27;0.1;;;;;;;;;0.5;;;;;;;;;;;;0.4;;;;;;;;;
28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
29;;;0.8;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;
START;;0.1;;;;;;0.3;;;;;;;0.1;0.1;;0.1;;;;;;0.3;;;;;;;
