FROM;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;OFF
0;;0.5;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;;0.4;;;;0.6;;;;;;;;;;;;;;;;;;;;;;;;
4;;;;;;0.5;0.5;;;;;;;;;;;;;;;;;;;;;;;;
5;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
6;;;;;;0.5;;;0.5;;;;;;;;;;;;;;;;;;;;;;
7;;;;;;;;;;0.8;;0.2;;;;;;;;;;;;;;;;;;;
8;;;;;;;;0.9;;;;0.1;;;;;;;;;;;;;;;;;;;
9;;;;;;;;;;;0.5;0.5;;;;;;;;;;;;;;;;;;;
10;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
11;;;;;;;;;;;0.5;;;0.5;;;;;;;;;;;;;;;;;
12;;;;;;;;;;;;;0.1;;0.9;;;;;;;;;;;;;;;;
13;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;0.85;;0.1;;;;;;;;;;;;;;0.05
15;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;0.05;;0.8;;0.05;;;;;;;;;;;;0.1
17;;;;;;;;;;;;;;;;;;0.85;;;;;;;;;;;;;0.15
18;;;;;;;;;;;;;;;;;0.2;;0.7;;;;;;;;;;;;0.1
19;;;;;;;;;;;;;;;;;0.5;;0.5;;;;;;;;;;;;0.2
20;;;;;;;;;;;;;;;;;;;0.4;0.6;;;;;;;;;;;
21;;;;;;;;;;;;;;;;;;;;;;;0.2;;0.4;0.4;;;;;
22;;;;;;;;;;;;;;;;;;0.5;;0.5;;;;;;;;;;;
23;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
24;;;;;;;;;;;;;;;;;;;;0.2;0.2;;0.3;;0.3;;;;;;
25;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5;;;;;;
26;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
27;;;;;;;;;;;;;;;;;;;;;;0.7;;;;0.3;;;;;
28;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5;;;
29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
START;0.4;;;;;;;;;;;;;;0.05;;0.05;0.05;;;;;;;0.05;;;;;0.4;
