FROM;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;OFF
0;;0.7;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;;0.5;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;;;0.4;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;;;;;0.5;0.5;;;;;;;;;;;;;;;;;;;;;;;;
4;;;;;;0.5;0.5;;;;;;;;;;;;;;;;;;;;;;;;
5;;;;;;;;0.5;0.5;;;;;;;;;;;;;;;;;;;;;;
6;;;;;;0.5;;;0.5;;;;;;;;;;;;;;;;;;;;;;
7;;;;;;;;;;0.5;0.5;;;;;;;;;;;;;;;;;;;;
8;;;;;;;;0.7;;0.3;;;;;;;;;;;;;;;;;;;;;
9;;;;;;;;;;;0.35;0.65;;;;;;;;;;;;;;;;;;;
10;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
11;;;;;;;;;;;0.24;;;0.4;;0.36;;;;;;;;;;;;;;;
12;;;;;;;;;;;;;0.3;;0.4;;;;;;;;;;;;;;;;0.3
13;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;0.4;;0.1;;;;;;;;;;;;;;0.5
15;;;;;;;;;;;;;0.5;;0.5;;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;0.1;;0.3;;0.1;;;;;;;;;;;;0.5
17;;;;;;;;;;;;;;;;;0.2;0.3;;;;;;;;;;;;;0.5
18;;;;;;;;;;;;;;;;;0.2;;0.3;;;;;;;;;;;;0.5
19;;;;;;;;;;;;;;;;;0.5;0.2;0.3;;;;;;;;;;;;0.2
20;;;;;;;;;;;;;;;;;;;0.4;0.6;;;;;;;;;;;
21;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
22;;;;;;;;;;;;;;;;;;0.5;;0.5;;;;;;;;;;;
23;;;;;;;;;;;;;;;;;;;;;0.5;;;;0.5;;;;;;
24;;;;;;;;;;;;;;;;;;;;;0.4;;0.4;;0.2;;;;;;
25;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5;;;;;;
26;;;;;;;;;;;;;;;;;;;;;;;;0.5;;0.5;;;;;
27;;;;;;;;;;;;;;;;;;;;;;0.4;;;;0.2;0.4;;;;
28;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5;;;
29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
START;;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;0.9;
